IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2024-01-01,300_5_2021,4700351.82906,1856582.5,2843769.3290600004,142041.8311323824,132988.71012034762,9053.121012034764,-5.45841168165225e-12,0,1559999.9101665895,16649.53720780587,42457.5,1500892.8729587838,0,1417958.0790342072,0.0,0.0,0,0.0,1358851.0418264014,0,42457.5,24771.98108235786,0.0,1426080.5229087593,6083974.85196876,1814125.0,4269849.85196876,AJK
2024-02-01,300_5_2021,6083974.85196876,1814125.0,4269849.85196876,140194.721690659,131309.5197187809,8885.20197187809,-5.331374260336112e-12,0,7012.190000749826,16649.53720780587,42457.5,-52094.847207056046,0,-133182.53168990917,0.0,0.0,0,0.0,-192289.56889771504,0,42457.5,24884.703284288466,0.0,-124947.36561342658,5916569.986355333,1771667.5,4144902.4863553327,AJK
2024-03-01,300_5_2021,5916569.986355333,1771667.5,4144902.4863553327,138308.07771245128,129594.38882950116,8713.688882950115,-5.202039039183422e-12,0,7939.839763302094,16649.53720780587,42457.5,-51167.19744450378,0,-130368.23794914919,0.0,0.0,0,0.0,-189475.27515695506,0,42457.5,23403.05017393023,0.0,-123614.72498302483,5750497.761372307,1729210.0,4021287.761372308,AJK
2023-12-01,300_5_2022,819184539.7390299,236353030.1133681,582831509.6256618,91549279.50193723,85564764.59156927,5984514.910367949,-0.0,0,20086909.47090729,10911587.842065388,25861079.7502381,-16685758.121396195,0,-71462370.03102994,0.0,0.0,0,0.0,-108235037.62333342,0,25861079.7502381,18076570.496733446,0.0,-64297387.37636189,729026072.61243,210491950.36313,518534122.2493,AJK
2024-01-01,300_5_2022,729026072.61243,210491950.36313,518534122.2493,9822764.09372863,9147798.762177542,674965.3315510874,-0.0,0,2169464.724662076,1023448.5466735514,2398145.446666667,-1252129.2686781422,0,-7653299.369066553,0.0,0.0,0,0.0,-11074893.362406772,0,2398145.446666667,3172464.266646038,0.0,-5504283.649094067,721123643.5166693,208093804.91646335,513029838.60020596,AJK
2024-02-01,300_5_2022,721123643.5166693,208093804.91646332,513029838.60020596,9809153.719164914,9135425.694392346,673728.024772568,-0.0,0,2170333.872119924,1023448.5466735514,2398145.446666667,-1251260.1212202942,0,-7638819.8470449895,0.0,0.0,0,0.0,-11060413.840385208,0,2398145.446666667,3228601.4455130263,0.0,-5433666.948205514,713291831.1217971,205695659.46979666,507596171.6520004,AJK
2024-03-01,300_5_2022,713291831.1217971,205695659.46979666,507596171.6520004,9864635.976301514,9185864.109971073,678771.8663304406,-0.0,0,2159058.7407388655,1023448.5466735514,2398145.446666667,-1262535.252601353,0,-7705577.235562649,0.0,0.0,0,0.0,-11127171.228902867,0,2398145.446666667,3034781.710914841,0.0,-5694244.071321359,705199441.6038091,203297514.02313,501901927.58067906,AJK
2023-12-01,300_6_2023,323484706.67607456,61158229.73264556,262326476.943429,14783218.420510657,13615201.86067383,1168016.5598368272,-0.0,0,6637310.30786924,1120703.65499985,1935036.2623055556,3581570.390563834,0,-8145908.112641417,30669800.0,-5827262.0,0,36497062.0,19468151.970053177,0,-3892225.737694444,1743776.8668242975,0.0,17319703.09918303,344696635.512952,65050455.47034,279646180.042612,AJK
2024-01-01,300_6_2023,344696635.512952,65050455.47034,279646180.042612,13635887.346887417,12562869.403087046,1073017.9438003714,-0.0,0,2103751.558619462,1061270.0731180839,1832689.9650833334,-790208.4795819555,0,-11532135.788267955,0.0,0.0,0,0.0,-14426095.826469373,0,1832689.9650833334,1557442.5013829002,0.0,-11035963.36000314,331827982.18786556,63217765.50525667,268610216.6826089,AJK
2024-02-01,300_6_2023,331827982.18786556,63217765.50525666,268610216.6826089,13356208.91970097,12308616.287463004,1047592.6322379672,-0.0,0,2117834.5110958805,1061270.0731180839,1832689.9650833334,-776125.527105537,0,-11238374.408605091,0.0,0.0,0,0.0,-14132334.446806507,0,1832689.9650833334,1524258.4887412486,0.0,-10775385.992981926,319219906.2298003,61385075.54017333,257834830.68962696,AJK
2024-03-01,300_6_2023,319219906.2298003,61385075.54017333,257834830.68962693,13117084.617299447,12091230.558007073,1025854.059292374,-0.0,0,2177079.65435079,1061270.0731180839,1832689.9650833334,-716880.3838506269,0,-10940004.962948658,0.0,0.0,0,0.0,-13833965.001150073,0,1832689.9650833334,1421190.030909709,0.0,-10580085.005157031,306807131.2595599,59552385.57509,247254745.6844699,AJK
2024-01-01,300_6_2024,0.0,0.0,0.0,2273432.9344157865,2092060.851981523,181372.08243426343,-0.0,0,5488306.699096063,161819.1525594666,278340.02763888886,5048147.518897708,0,3214873.7646802766,37522489.0,-7129272.91,0,44651761.91,40297203.584481925,0,-6850932.882361111,337352.753573445,0.0,33783623.45569426,40634556.33805537,6850932.882361111,33783623.45569426,AJK
2024-02-01,300_6_2024,40634556.33805537,6850932.882361111,33783623.45569426,4462527.448244348,4106535.774111023,355991.67413332453,-0.0,0,3847042.196820395,315818.31074016396,546619.0327777778,2984604.853302453,0,-615485.2514239531,45269481.0,-8601201.39,0,53870682.39,43791558.40505811,0,-8054582.357222223,573280.9953383319,0.0,36310257.04317422,84999395.73845181,14905515.239583334,70093880.49886848,AJK
2024-03-01,300_6_2024,84999395.73845181,14905515.239583334,70093880.49886848,5461245.3871247135,5027339.503022467,433905.88410224667,-0.0,0,2407232.989648383,397232.42979892244,688280.662,1321719.8978494608,0,-3054012.3974763304,41424791.0,-7870710.29,0,49295501.29,37285265.510724746,0,-7182429.6280000005,656782.9230313549,0.0,30759618.805756103,122941444.17220792,22087944.867583334,100853499.30462459,AJK
2023-12-01,300_7_2023,408085727.12122583,104721187.5,303364539.62122583,89987292.50879171,63635145.07722553,4583148.007722554,21768999.423843645,0,26945153.742710717,9141488.742710719,17803665.0,0.0,0,-63042138.766081,0.0,0.0,0,0.0,-89987292.50879171,0,17803665.0,1444106.4520594175,0.0,-70739521.0567323,319542541.06449354,86917522.5,232625018.56449357,AJK
